Wall time,Step,Value
1648547422.561281,1000,2.3024184703826904
1648547426.7060547,2000,2.3024864196777344
1648547430.8620262,3000,2.3023550510406494
1648547435.0353868,4000,2.3023223876953125
1648547439.2557552,5000,2.302109956741333
1648547443.4761984,6000,2.302048683166504
1648547451.7696972,7250,2.301236629486084
1648547455.9679375,8250,2.299984931945801
1648547460.169454,9250,2.2952475547790527
1648547464.3813257,10250,2.2687454223632812
1648547468.637019,11250,2.2271900177001953
1648547472.8283467,12250,2.1718103885650635
1648547480.9907954,13500,2.0678553581237793
1648547485.2314043,14500,1.9971742630004883
1648547489.5203028,15500,1.9791173934936523
1648547494.1469305,16500,1.9353357553482056
1648547498.638018,17500,1.8748277425765991
1648547502.7435749,18500,1.8192509412765503
1648547510.419427,19750,1.7415499687194824
1648547514.362481,20750,1.690502643585205
1648547518.3230858,21750,1.6717488765716553
1648547522.2550066,22750,1.6374818086624146
1648547526.2863662,23750,1.6094472408294678
1648547530.3115602,24750,1.6000491380691528
